id,code,name,supplier,image_path,image_count,has_y_source,y_file_count,y_paths,review_status
542,6315Y,Gạch 300X600 Giả Thẻ Đen Mờ,Innomat,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/ae5113d358161935f43172d3ded501b26deee86128f679e86d41b9f651832b04.webp,4,yes,1,GẠCH 30X60\BỘ CERAMIC 300X600 (12 MÀU)\6315Y.jpg,
531,6861LV,Gạch 300X600 Giả Thẻ Xanh Mint Mờ,Innomat,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/f75eb3b9642f4f4a8dd3eef2e149fa319c0b943d12872352de9928c00cbf3061.webp,2,no,0,,
1938,IC61201,Gạch 600x1200mm Bóng,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/4bbe9921e2372dc4ff19e9b75c3db16643344ff209909292edde8ae6331aece6.webp,1,yes,2,Gạch Á Châu\IC61201.png || Gạch Á Châu\Kích thước nhỏ\IC61201.jpeg,
1939,IC61202,Gạch 600x1200mm Mờ,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/fa39a2bec9393722ac8af87b430daa757017dcce5640729d2198bf05b9f6a119.webp,1,yes,2,Gạch Á Châu\IC61202.png || Gạch Á Châu\Kích thước nhỏ\IC61202.jpeg,
1940,IC61203,Gạch 600x1200mm Mờ,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/b358d1b1dab770b76a6bbeba14ca7bd7d8b59be8b120209f180835c4c6321a69.webp,1,no,0,,
1941,IC61204,Gạch 600x1200mm Mờ,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/19f4ed28541964a0f4df376c41021ff68ae79182b236fb11f28ff3ac84c7172e.webp,1,no,0,,
1942,IC61205,Gạch 600x1200mm Mờ,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/0625c2f8fb0b1f0cb762b0f1b1138a68b831a29f35486e02c6c5154451b729a2.webp,1,yes,2,Gạch Á Châu\IC61205.png || Gạch Á Châu\Kích thước nhỏ\IC61205.jpeg,
1943,IC61206,Gạch 600x1200mm Mờ,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/52d6facf7b9e7a5f3a9ec9e69d724f075bc138103bbb8dbd391e4d8b2c4438eb.webp,1,yes,2,Gạch Á Châu\IC61206.png || Gạch Á Châu\Kích thước nhỏ\IC61206.jpeg,
1944,IC61207,Gạch 600x1200mm Mờ,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/8597aa2fa5bb31e9d57e3fcac6d121c187b9e566c02da00efab913275a275cf7.webp,1,yes,2,Gạch Á Châu\IC61207.png || Gạch Á Châu\Kích thước nhỏ\IC61207.jpeg,
1945,IC61208,Gạch 600x1200mm Mờ,Á Châu,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/d4142082357fd09d91669b496178fe30a5dad1ec67b99c7adae10421d0118c5d.webp,1,yes,2,Gạch Á Châu\IC61208.png || Gạch Á Châu\Kích thước nhỏ\IC61208.jpeg,
